Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:30:6,69,98.03532521
Apr 18 2024  6:30:9,58,97.5623855
Apr 18 2024  6:30:12,101,NaN
Apr 18 2024  6:30:15,69,NaN
Apr 18 2024  6:30:18,63,138.5697903
Apr 18 2024  6:30:21,71,NaN
Apr 18 2024  6:30:24,73,140.1203825
Apr 18 2024  6:30:27,81,137.4670806
Apr 18 2024  6:30:30,73,NaN
Apr 18 2024  6:30:33,79,136.0368712
Apr 18 2024  6:30:45,73,NaN
Apr 18 2024  6:30:48,63,NaN
Apr 18 2024  6:30:51,74,NaN
Apr 18 2024  6:30:54,73,NaN
Apr 18 2024  6:30:57,57,120.2790318
Apr 18 2024  6:31:0,83,NaN
Apr 18 2024  6:31:3,72,NaN
Apr 18 2024  6:31:6,74,NaN
Apr 18 2024  6:31:9,78,127.5540278
Apr 18 2024  6:31:12,74,NaN
Apr 18 2024  6:31:15,69,NaN
Apr 18 2024  6:31:18,76,125.0269536
Apr 18 2024  6:31:21,80,125.0498528
Apr 18 2024  6:31:24,70,NaN
Apr 18 2024  6:31:27,77,NaN
Apr 18 2024  6:31:30,58,NaN
Apr 18 2024  6:31:33,70,125.3137715
Apr 18 2024  6:31:36,58,NaN
Apr 18 2024  6:31:39,74,125.4665901
Apr 18 2024  6:31:42,74,NaN
Apr 18 2024  6:31:45,69,NaN
Apr 18 2024  6:31:48,73,96.46810843
Apr 18 2024  6:31:51,69,NaN
Apr 18 2024  6:31:54,72,77.85461154
Apr 18 2024  6:31:57,59,78.85251803
Apr 18 2024  6:32:0,82,85.38611314
Apr 18 2024  6:32:3,72,NaN
Apr 18 2024  6:32:6,74,87.10228053
Apr 18 2024  6:32:9,66,86.84397402
Apr 18 2024  6:32:12,76,86.58998432
Apr 18 2024  6:32:15,69,NaN
Apr 18 2024  6:32:18,74,NaN
Apr 18 2024  6:32:24,58,86.57472124
Apr 18 2024  6:32:27,75,NaN
Apr 18 2024  6:32:33,78,76.85807698
Apr 18 2024  6:32:39,58,81.902387
Apr 18 2024  6:32:42,72,NaN
Apr 18 2024  6:32:45,72,NaN
Apr 18 2024  6:32:48,58,NaN
Apr 18 2024  6:32:51,57,85.03716965
Apr 18 2024  6:32:54,73,NaN
Apr 18 2024  6:32:57,56,NaN
Apr 18 2024  6:33:0,70,NaN
Apr 18 2024  6:33:3,70,91.05830172
Apr 18 2024  6:33:6,77,88.16791445
Apr 18 2024  6:33:9,70,88.10543983
Apr 18 2024  6:33:12,73,NaN
Apr 18 2024  6:33:15,58,88.6611584
Apr 18 2024  6:33:18,74,NaN
Apr 18 2024  6:33:21,58,87.99037064
Apr 18 2024  6:33:27,57,NaN
Apr 18 2024  6:33:30,79,NaN
Apr 18 2024  6:33:33,91,NaN
Apr 18 2024  6:33:36,70,NaN
Apr 18 2024  6:33:39,101,103.0561064
Apr 18 2024  6:33:42,73,111.0908244
Apr 18 2024  6:33:45,76,NaN
Apr 18 2024  6:33:48,70,111.1086666
Apr 18 2024  6:33:51,77,NaN
Apr 18 2024  6:33:54,74,113.1709566
Apr 18 2024  6:33:57,73,NaN
Apr 18 2024  6:34:0,77,NaN
Apr 18 2024  6:34:3,69,NaN
Apr 18 2024  6:34:6,69,116.5591553
Apr 18 2024  6:34:9,83,NaN
Apr 18 2024  6:34:12,73,114.0182698
Apr 18 2024  6:34:15,70,112.5307957
Apr 18 2024  6:34:18,58,112.2250475
Apr 18 2024  6:34:21,72,NaN
Apr 18 2024  6:34:24,58,NaN
Apr 18 2024  6:34:27,74,NaN
Apr 18 2024  6:34:30,72,110.8208584
Apr 18 2024  6:34:36,69,NaN
Apr 18 2024  6:34:39,72,NaN
Apr 18 2024  6:34:42,66,110.7254192
Apr 18 2024  6:34:45,63,NaN
Apr 18 2024  6:34:48,74,NaN
Apr 18 2024  6:34:51,78,109.9028236
Apr 18 2024  6:34:54,74,109.4690901
Apr 18 2024  6:34:57,74,109.9729434
Apr 18 2024  6:35:0,72,NaN
Apr 18 2024  6:35:3,71,NaN
Apr 18 2024  6:35:9,70,103.3676676
Apr 18 2024  6:35:18,72,NaN
